code,name,symbol
sz159998,计算机ETF,159998.SZ
sz159997,电子ETF,159997.SZ
sz159996,家电ETF国泰,159996.SZ
sz159995,芯片ETF,159995.SZ
sz159994,通信ETF银华,159994.SZ
sz159993,证券ETF鹏华,159993.SZ
sz159992,创新药ETF,159992.SZ
sz159991,创业板大盘ETF招商,159991.SZ
sz159985,豆粕ETF,159985.SZ
sz159982,中证500ETF鹏华,159982.SZ
sz159981,能源化工ETF建信,159981.SZ
sz159980,有色ETF大成,159980.SZ
sz159977,创业板ETF天弘,159977.SZ
sz159976,湾创ETF工银,159976.SZ
sz159975,深100ETF招商,159975.SZ
sz159974,央企创新ETF富国,159974.SZ
sz159973,民企ETF弘毅远方,159973.SZ
sz159972,5年地债ETF,159972.SZ
sz159971,创业板ETF富国,159971.SZ
sz159970,深100ETF工银,159970.SZ
sz159968,中证500ETF博时,159968.SZ
sz159967,创业板成长ETF,159967.SZ
sz159966,创业板价值ETF,159966.SZ
sz159965,央视50ETF国联,159965.SZ
sz159964,创业板ETF平安,159964.SZ
sz159961,深100ETF方正富邦,159961.SZ
sz159960,恒生中国企业ETF平安,159960.SZ
sz159959,央企ETF银华,159959.SZ
sz159958,创业板ETF工银,159958.SZ
sz159957,创业板ETF华夏,159957.SZ
sz159956,创业板ETF建信,159956.SZ
sz159954,恒生中国企业ETF南方,159954.SZ
sz159952,创业板ETF广发,159952.SZ
sz159949,创业板50ETF华安,159949.SZ
sz159948,创业板ETF南方,159948.SZ
sz159945,能源ETF广发,159945.SZ
sz159944,材料ETF广发,159944.SZ
sz159943,深证成指ETF大成,159943.SZ
sz159941,纳指ETF广发,159941.SZ
sz159940,金融地产ETF广发,159940.SZ
sz159939,信息技术ETF广发,159939.SZ
sz159938,医药ETF广发,159938.SZ
sz159937,黄金ETF博时,159937.SZ
sz159936,可选消费ETF广发,159936.SZ
sz159935,中证500ETF景顺,159935.SZ
sz159934,黄金ETF易方达,159934.SZ
sz159933,金融地产ETF国投瑞银,159933.SZ
sz159931,金融ETF,159931.SZ
sz159930,能源ETF,159930.SZ
sz159929,医药ETF,159929.SZ
sz159928,消费ETF,159928.SZ
sz159925,沪深300ETF南方,159925.SZ
sz159923,中证A100ETF大成,159923.SZ
sz159922,中证500ETF嘉实,159922.SZ
sz159920,恒生ETF,159920.SZ
sz159919,沪深300ETF嘉实,159919.SZ
sz159918,中创400ETF嘉实,159918.SZ
sz159916,基本面ETF建信,159916.SZ
sz159915,创业板ETF易方达,159915.SZ
sz159913,深价值ETF交银,159913.SZ
sz159912,深300ETF汇添富,159912.SZ
sz159910,基本面120ETF嘉实,159910.SZ
sz159909,TMT50ETF招商,159909.SZ
sz159908,创业板ETF博时,159908.SZ
sz159907,国证2000ETF广发,159907.SZ
sz159906,深成长ETF大成,159906.SZ
sz159905,红利ETF工银,159905.SZ
sz159903,深成ETF南方,159903.SZ
sz159902,中小100ETF华夏,159902.SZ
sz159901,深证100ETF易方达,159901.SZ
sz159899,软件ETF招商,159899.SZ
sz159898,医疗器械ETF招商,159898.SZ
sz159896,物联网ETF南方,159896.SZ
sz159895,物联网ETF易方达,159895.SZ
sz159892,恒生医药ETF华夏,159892.SZ
sz159891,医疗ETF建信,159891.SZ
sz159890,云计算ETF招商,159890.SZ
sz159889,智能汽车ETF国泰,159889.SZ
sz159888,智能汽车ETF华夏,159888.SZ
sz159887,银行ETF富国,159887.SZ
sz159886,机械ETF富国,159886.SZ
sz159885,碳中和ETF鹏华,159885.SZ
sz159883,医疗器械ETF永赢,159883.SZ
sz159881,有色金属ETF国泰,159881.SZ
sz159880,有色ETF鹏华,159880.SZ
sz159877,医疗ETF南方,159877.SZ
sz159876,有色ETF华宝,159876.SZ
sz159875,新能源ETF嘉实,159875.SZ
sz159873,医疗设备ETF,159873.SZ
sz159872,智能网联汽车ETF,159872.SZ
sz159871,有色ETF银华,159871.SZ
sz159870,化工ETF,159870.SZ
sz159869,游戏ETF,159869.SZ
sz159867,畜牧ETF,159867.SZ
sz159866,日经ETF工银,159866.SZ
sz159865,养殖ETF国泰,159865.SZ
sz159864,光伏ETF国泰,159864.SZ
sz159863,光伏ETF鹏华,159863.SZ
sz159862,食品饮料ETF银华,159862.SZ
sz159861,碳中和50ETF国泰,159861.SZ
sz159859,生物医药ETF,159859.SZ
