symbol,name,rows,first,last
159998.SZ,计算机ETF,241,2025-03-24,2026-03-23
159997.SZ,电子ETF,242,2025-03-24,2026-03-23
159996.SZ,家电ETF国泰,242,2025-03-24,2026-03-23
159995.SZ,芯片ETF,241,2025-03-24,2026-03-23
159994.SZ,通信ETF银华,241,2025-03-24,2026-03-23
159993.SZ,证券ETF鹏华,241,2025-03-24,2026-03-23
159992.SZ,创新药ETF,242,2025-03-24,2026-03-23
159991.SZ,创业板大盘ETF招商,241,2025-03-24,2026-03-23
159985.SZ,豆粕ETF,241,2025-03-24,2026-03-23
159982.SZ,中证500ETF鹏华,241,2025-03-24,2026-03-23
159981.SZ,能源化工ETF建信,241,2025-03-24,2026-03-23
159980.SZ,有色ETF大成,241,2025-03-24,2026-03-23
159977.SZ,创业板ETF天弘,241,2025-03-24,2026-03-23
159976.SZ,湾创ETF工银,241,2025-03-24,2026-03-23
159975.SZ,深100ETF招商,241,2025-03-24,2026-03-23
159974.SZ,央企创新ETF富国,241,2025-03-24,2026-03-23
159973.SZ,民企ETF弘毅远方,242,2025-03-24,2026-03-23
159972.SZ,5年地债ETF,241,2025-03-24,2026-03-23
159971.SZ,创业板ETF富国,242,2025-03-24,2026-03-23
159970.SZ,深100ETF工银,241,2025-03-24,2026-03-23
159968.SZ,中证500ETF博时,241,2025-03-24,2026-03-23
159967.SZ,创业板成长ETF,241,2025-03-24,2026-03-23
159966.SZ,创业板价值ETF,241,2025-03-24,2026-03-23
159965.SZ,央视50ETF国联,241,2025-03-24,2026-03-23
159964.SZ,创业板ETF平安,241,2025-03-24,2026-03-23
159961.SZ,深100ETF方正富邦,241,2025-03-24,2026-03-23
159960.SZ,恒生中国企业ETF平安,241,2025-03-24,2026-03-23
159959.SZ,央企ETF银华,241,2025-03-24,2026-03-23
159958.SZ,创业板ETF工银,241,2025-03-24,2026-03-23
159957.SZ,创业板ETF华夏,241,2025-03-24,2026-03-23
159956.SZ,创业板ETF建信,241,2025-03-24,2026-03-23
159954.SZ,恒生中国企业ETF南方,241,2025-03-24,2026-03-23
159952.SZ,创业板ETF广发,241,2025-03-24,2026-03-23
159949.SZ,创业板50ETF华安,241,2025-03-24,2026-03-23
159948.SZ,创业板ETF南方,241,2025-03-24,2026-03-23
159945.SZ,能源ETF广发,241,2025-03-24,2026-03-23
159944.SZ,材料ETF广发,241,2025-03-24,2026-03-23
159943.SZ,深证成指ETF大成,241,2025-03-24,2026-03-23
159940.SZ,金融地产ETF广发,241,2025-03-24,2026-03-23
159939.SZ,信息技术ETF广发,241,2025-03-24,2026-03-23
159938.SZ,医药ETF广发,241,2025-03-24,2026-03-23
159937.SZ,黄金ETF博时,241,2025-03-24,2026-03-23
159936.SZ,可选消费ETF广发,242,2025-03-24,2026-03-23
159935.SZ,中证500ETF景顺,242,2025-03-24,2026-03-23
159934.SZ,黄金ETF易方达,242,2025-03-24,2026-03-23
159933.SZ,金融地产ETF国投瑞银,242,2025-03-24,2026-03-23
159931.SZ,金融ETF,242,2025-03-24,2026-03-23
159930.SZ,能源ETF,242,2025-03-24,2026-03-23
159929.SZ,医药ETF,242,2025-03-24,2026-03-23
159928.SZ,消费ETF,242,2025-03-24,2026-03-23
159925.SZ,沪深300ETF南方,241,2025-03-24,2026-03-23
159923.SZ,中证A100ETF大成,241,2025-03-24,2026-03-23
159920.SZ,恒生ETF,241,2025-03-24,2026-03-23
159918.SZ,中创400ETF嘉实,241,2025-03-24,2026-03-23
159916.SZ,基本面ETF建信,241,2025-03-24,2026-03-23
159913.SZ,深价值ETF交银,241,2025-03-24,2026-03-23
159912.SZ,深300ETF汇添富,241,2025-03-24,2026-03-23
159910.SZ,基本面120ETF嘉实,241,2025-03-24,2026-03-23
159909.SZ,TMT50ETF招商,241,2025-03-24,2026-03-23
159908.SZ,创业板ETF博时,242,2025-03-24,2026-03-23
159907.SZ,国证2000ETF广发,241,2025-03-24,2026-03-23
159906.SZ,深成长ETF大成,241,2025-03-24,2026-03-23
159905.SZ,红利ETF工银,241,2025-03-24,2026-03-23
159903.SZ,深成ETF南方,241,2025-03-24,2026-03-23
159902.SZ,中小100ETF华夏,241,2025-03-24,2026-03-23
159899.SZ,软件ETF招商,241,2025-03-24,2026-03-23
159898.SZ,医疗器械ETF招商,241,2025-03-24,2026-03-23
159896.SZ,物联网ETF南方,241,2025-03-24,2026-03-23
159895.SZ,物联网ETF易方达,241,2025-03-24,2026-03-23
159892.SZ,恒生医药ETF华夏,242,2025-03-24,2026-03-23
159891.SZ,医疗ETF建信,241,2025-03-24,2026-03-23
159890.SZ,云计算ETF招商,241,2025-03-24,2026-03-23
159889.SZ,智能汽车ETF国泰,241,2025-03-24,2026-03-23
159888.SZ,智能汽车ETF华夏,241,2025-03-24,2026-03-23
159887.SZ,银行ETF富国,241,2025-03-24,2026-03-23
159886.SZ,机械ETF富国,241,2025-03-24,2026-03-23
159885.SZ,碳中和ETF鹏华,241,2025-03-24,2026-03-23
159883.SZ,医疗器械ETF永赢,241,2025-03-24,2026-03-23
159881.SZ,有色金属ETF国泰,241,2025-03-24,2026-03-23
159880.SZ,有色ETF鹏华,241,2025-03-24,2026-03-23
159877.SZ,医疗ETF南方,241,2025-03-24,2026-03-23
159876.SZ,有色ETF华宝,241,2025-03-24,2026-03-23
159875.SZ,新能源ETF嘉实,241,2025-03-24,2026-03-23
159873.SZ,医疗设备ETF,241,2025-03-24,2026-03-23
159872.SZ,智能网联汽车ETF,241,2025-03-24,2026-03-23
159871.SZ,有色ETF银华,241,2025-03-24,2026-03-23
159870.SZ,化工ETF,241,2025-03-24,2026-03-23
159867.SZ,畜牧ETF,241,2025-03-24,2026-03-23
159866.SZ,日经ETF工银,241,2025-03-24,2026-03-23
159865.SZ,养殖ETF国泰,241,2025-03-24,2026-03-23
159864.SZ,光伏ETF国泰,241,2025-03-24,2026-03-23
159863.SZ,光伏ETF鹏华,241,2025-03-24,2026-03-23
159862.SZ,食品饮料ETF银华,241,2025-03-24,2026-03-23
159861.SZ,碳中和50ETF国泰,241,2025-03-24,2026-03-23
159859.SZ,生物医药ETF,241,2025-03-24,2026-03-23
159858.SZ,创新药ETF南方,241,2025-03-24,2026-03-23
159857.SZ,光伏ETF,241,2025-03-24,2026-03-23
159856.SZ,互联网龙头ETF工银,241,2025-03-24,2026-03-23
159855.SZ,影视ETF,241,2025-03-24,2026-03-23
159852.SZ,软件ETF嘉实,241,2025-03-24,2026-03-23
159851.SZ,金融科技ETF,241,2025-03-24,2026-03-23
159850.SZ,恒生国企ETF,241,2025-03-24,2026-03-23
159849.SZ,生物科技ETF招商,241,2025-03-24,2026-03-23
159848.SZ,证券ETF国联安,241,2025-03-24,2026-03-23
159847.SZ,医疗ETF易方达,241,2025-03-24,2026-03-23
159845.SZ,中证1000ETF,241,2025-03-24,2026-03-23
159843.SZ,食品饮料ETF招商,241,2025-03-24,2026-03-23
159842.SZ,券商ETF,241,2025-03-24,2026-03-23
159841.SZ,证券ETF,241,2025-03-24,2026-03-23
159840.SZ,锂电池ETF工银,241,2025-03-24,2026-03-23
159839.SZ,生物医药ETF汇添富,241,2025-03-24,2026-03-23
159838.SZ,医药50ETF博时,241,2025-03-24,2026-03-23
159837.SZ,生物科技ETF易方达,241,2025-03-24,2026-03-23
159836.SZ,创业板300ETF天弘,241,2025-03-24,2026-03-23
159835.SZ,创新药ETF建信,241,2025-03-24,2026-03-23
159834.SZ,金ETF南方,241,2025-03-24,2026-03-23
159831.SZ,金ETF嘉实,241,2025-03-24,2026-03-23
159830.SZ,上海金ETF,241,2025-03-24,2026-03-23
159828.SZ,医疗ETF国泰,241,2025-03-24,2026-03-23
159827.SZ,农业ETF银华,242,2025-03-24,2026-03-23
159825.SZ,农业ETF富国,241,2025-03-24,2026-03-23
159824.SZ,新能源车ETF博时,241,2025-03-24,2026-03-23
159822.SZ,新经济ETF银华,242,2025-03-24,2026-03-23
159821.SZ,创业板ETF中银证券,241,2025-03-24,2026-03-23
159820.SZ,中证500ETF天弘,241,2025-03-24,2026-03-23
159819.SZ,人工智能ETF易方达,241,2025-03-24,2026-03-23
159816.SZ,0-4地债ETF,241,2025-03-24,2026-03-23
159814.SZ,创业大盘ETF西部利得,241,2025-03-24,2026-03-23
159813.SZ,半导体ETF,241,2025-03-24,2026-03-23
159812.SZ,黄金ETF前海开源,241,2025-03-24,2026-03-23
159811.SZ,5GETF博时,241,2025-03-24,2026-03-23
159810.SZ,创业板ETF浦银,241,2025-03-24,2026-03-23
159808.SZ,创100ETF融通,241,2025-03-24,2026-03-23
159807.SZ,科技ETF易方达,241,2025-03-24,2026-03-23
159806.SZ,新能源车ETF国泰,241,2025-03-24,2026-03-23
